ID,Region,District,Longitude,Latitude
1,Magway Region,Gangaw District,94.3033565,21.3837473
1,Magway Region,Gangaw District,94.3044934,21.3811635
1,Magway Region,Gangaw District,94.3035675,21.3766379
1,Magway Region,Gangaw District,94.3004698,21.3755881
1,Magway Region,Gangaw District,94.2964533,21.3678055
1,Magway Region,Gangaw District,94.3003446,21.359772
1,Magway Region,Gangaw District,94.3028552,21.3486004
1,Magway Region,Gangaw District,94.3049891,21.3448347
1,Magway Region,Gangaw District,94.3083781,21.3435795
1,Magway Region,Gangaw District,94.3116417,21.338433
1,Magway Region,Gangaw District,94.3132735,21.3340397
1,Magway Region,Gangaw District,94.3118929,21.3283911
1,Magway Region,Gangaw District,94.3107633,21.3272614
1,Magway Region,Gangaw District,94.3052405,21.3270102
1,Magway Region,Gangaw District,94.3037343,21.3232444
1,Magway Region,Gangaw District,94.3026047,21.3174703
1,Magway Region,Gangaw District,94.3034835,21.3139556
1,Magway Region,Gangaw District,94.3012242,21.3103154
1,Magway Region,Gangaw District,94.2972076,21.3083069
1,Magway Region,Gangaw District,94.2941953,21.3016541
1,Magway Region,Gangaw District,94.2870621,21.2986134
1,Magway Region,Gangaw District,94.2729467,21.2981467
1,Magway Region,Gangaw District,94.2677108,21.2971347
1,Magway Region,Gangaw District,94.265075,21.2941221
1,Magway Region,Gangaw District,94.2664558,21.2918627
1,Magway Region,Gangaw District,94.2706542,21.2904414
1,Magway Region,Gangaw District,94.273987,21.2862142
1,Magway Region,Gangaw District,94.2761209,21.2821974
1,Magway Region,Gangaw District,94.2751168,21.2798124
1,Magway Region,Gangaw District,94.2718065,21.2778185
1,Magway Region,Gangaw District,94.2703641,21.2777995
1,Magway Region,Gangaw District,94.2672092,21.2786826
1,Magway Region,Gangaw District,94.2646988,21.2779294
1,Magway Region,Gangaw District,94.2650754,21.2751679
1,Magway Region,Gangaw District,94.26859,21.2710256
1,Magway Region,Gangaw District,94.2700279,21.2680301
1,Magway Region,Gangaw District,94.2713516,21.2631176
1,Magway Region,Gangaw District,94.2708496,21.2578456
1,Magway Region,Gangaw District,94.2697956,21.2516117
1,Magway Region,Gangaw District,94.2689531,21.2434751
1,Magway Region,Gangaw District,94.2704104,21.2425935
1,Magway Region,Gangaw District,94.2709136,21.2412467
1,Magway Region,Gangaw District,94.2728592,21.239916
1,Magway Region,Gangaw District,94.278169,21.2390841
1,Magway Region,Gangaw District,94.2868206,21.2401023
1,Magway Region,Gangaw District,94.2887587,21.2392249
1,Magway Region,Gangaw District,94.2935803,21.238836
1,Magway Region,Gangaw District,94.3018532,21.2398961
1,Magway Region,Gangaw District,94.3062464,21.2396451
1,Magway Region,Gangaw District,94.3067201,21.2388782
1,Magway Region,Gangaw District,94.3088824,21.2353773
1,Magway Region,Gangaw District,94.308506,21.2280969
1,Magway Region,Gangaw District,94.3092593,21.2198123
1,Magway Region,Gangaw District,94.3103891,21.2115277
1,Magway Region,Gangaw District,94.3084104,21.2078995
1,Magway Region,Gangaw District,94.3084105,21.2069039
1,Magway Region,Gangaw District,94.3084104,21.2033363
1,Magway Region,Gangaw District,94.3082579,21.1959952
1,Magway Region,Gangaw District,94.30201,21.1852836
1,Magway Region,Gangaw District,94.2977704,21.1768037
1,Magway Region,Gangaw District,94.2986631,21.1727869
1,Magway Region,Gangaw District,94.2979938,21.167208
1,Magway Region,Gangaw District,94.2971528,21.1642358
1,Magway Region,Gangaw District,94.2946468,21.1553808
1,Magway Region,Gangaw District,94.2944239,21.1451156
1,Magway Region,Gangaw District,94.2955269,21.1436818
1,Magway Region,Gangaw District,94.2966554,21.1422147
1,Magway Region,Gangaw District,94.2977713,21.1330653
1,Magway Region,Gangaw District,94.3009851,21.1287937
1,Magway Region,Gangaw District,94.3011187,21.1228003
1,Magway Region,Gangaw District,94.3060279,21.1198994
1,Magway Region,Gangaw District,94.3078132,21.1161058
1,Magway Region,Gangaw District,94.3053587,21.1094111
1,Magway Region,Gangaw District,94.3073671,21.1042785
1,Magway Region,Gangaw District,94.3140617,21.0931209
1,Magway Region,Gangaw District,94.3176321,21.0850874
1,Magway Region,Gangaw District,94.3158471,21.0795085
1,Magway Region,Gangaw District,94.320087,21.0703592
1,Magway Region,Gangaw District,94.3247732,21.0656731
1,Magway Region,Gangaw District,94.3294009,21.0605486
1,Magway Region,Gangaw District,94.3275048,21.0587178
1,Magway Region,Gangaw District,94.3241518,21.0577718
1,Magway Region,Gangaw District,94.3207567,21.0592015
1,Magway Region,Gangaw District,94.3191947,21.0563005
1,Magway Region,Gangaw District,94.3171866,21.0475974
1,Magway Region,Gangaw District,94.3187489,21.036886
1,Magway Region,Gangaw District,94.3216501,21.0237199
1,Magway Region,Gangaw District,94.3215048,21.0144147
1,Magway Region,Gangaw District,94.3214272,21.009438
1,Magway Region,Gangaw District,94.3205347,21.002297
1,Magway Region,Gangaw District,94.3211875,20.987778
1,Magway Region,Gangaw District,94.3207414,20.9750582
1,Magway Region,Gangaw District,94.3200721,20.9679172
1,Magway Region,Gangaw District,94.3209648,20.9601068
1,Magway Region,Gangaw District,94.3225271,20.9489491
1,Magway Region,Gangaw District,94.3263207,20.9413619
1,Magway Region,Gangaw District,94.3243125,20.9373451
1,Magway Region,Gangaw District,94.326321,20.9275263
1,Magway Region,Gangaw District,94.3254285,20.9215011
1,Magway Region,Gangaw District,94.3277183,20.9111151
1,Magway Region,Gangaw District,94.3278835,20.8987394
1,Magway Region,Gangaw District,94.32833,20.8915984
1,Magway Region,Gangaw District,94.3287764,20.8855732
1,Magway Region,Gangaw District,94.3296691,20.8775397
1,Magway Region,Gangaw District,94.3303387,20.8712913
1,Magway Region,Gangaw District,94.3317461,20.86717
1,Magway Region,Gangaw District,94.3268944,20.8682193
1,Magway Region,Gangaw District,94.3195315,20.8674522
1,Magway Region,Gangaw District,94.3162131,20.864063
1,Magway Region,Gangaw District,94.315719,20.8601089
1,Magway Region,Gangaw District,94.3152953,20.8594029
1,Magway Region,Gangaw District,94.311977,20.8579907
1,Magway Region,Gangaw District,94.311977,20.8549545
1,Magway Region,Gangaw District,94.3069642,20.8501531
1,Magway Region,Gangaw District,94.3031006,20.8482467
1,Magway Region,Gangaw District,94.3013434,20.8461127
1,Magway Region,Gangaw District,94.301469,20.8419704
1,Magway Region,Gangaw District,94.2997118,20.8388323
1,Magway Region,Gangaw District,94.3025988,20.8330582
1,Magway Region,Gangaw District,94.3069921,20.826782
1,Magway Region,Gangaw District,94.3083729,20.824146
1,Magway Region,Gangaw District,94.3020969,20.8227651
1,Magway Region,Gangaw District,94.2955699,20.8226395
1,Magway Region,Gangaw District,94.2944403,20.8183717
1,Magway Region,Gangaw District,94.2920554,20.8243968
1,Magway Region,Gangaw District,94.2899214,20.8295433
1,Magway Region,Gangaw District,94.2860304,20.826154
1,Magway Region,Gangaw District,94.2816372,20.8260284
1,Magway Region,Gangaw District,94.2790013,20.8251497
1,Magway Region,Gangaw District,94.276561,20.8236423
1,Magway Region,Gangaw District,94.2747337,20.8225136
1,Magway Region,Gangaw District,94.2720977,20.8277856
1,Magway Region,Gangaw District,94.2697706,20.8307777
1,Magway Region,Gangaw District,94.2685831,20.8323044
1,Magway Region,Gangaw District,94.2633113,20.8321788
1,Magway Region,Gangaw District,94.2567844,20.8299193
1,Magway Region,Gangaw District,94.2515866,20.8293293
1,Magway Region,Gangaw District,94.2496201,20.832464
1,Magway Region,Gangaw District,94.2462136,20.8346925
1,Magway Region,Gangaw District,94.2417505,20.8449576
1,Magway Region,Gangaw District,94.2415273,20.8509827
1,Magway Region,Gangaw District,94.241527,20.8634794
1,Magway Region,Gangaw District,94.240188,20.8728519
1,Magway Region,Gangaw District,94.2390721,20.8797697
1,Magway Region,Gangaw District,94.2350552,20.8936052
1,Magway Region,Gangaw District,94.2292532,20.9054323
1,Magway Region,Gangaw District,94.2248891,20.9124815
1,Magway Region,Gangaw District,94.2239816,20.9088608
1,Magway Region,Gangaw District,94.2230279,20.9083957
1,Magway Region,Gangaw District,94.2211548,20.9052105
1,Magway Region,Gangaw District,94.2206935,20.903852
1,Magway Region,Gangaw District,94.2197398,20.9033869
1,Magway Region,Gangaw District,94.2192817,20.9020254
1,Magway Region,Gangaw District,94.2178549,20.9011055
1,Magway Region,Gangaw District,94.2173937,20.899744
1,Magway Region,Gangaw District,94.2155012,20.897913
1,Magway Region,Gangaw District,94.214067,20.8974435
1,Magway Region,Gangaw District,94.2136058,20.896082
